County,District,County Pop,District Pop,County District Pop,Percent County in District,Percent District in County
Alamance,6.00,"151,131.00","733,498.00","151,131.00",100.00,20.60
Alexander,5.00,"37,198.00","733,499.00","37,198.00",100.00,5.07
Alleghany,5.00,"11,155.00","733,499.00","11,155.00",100.00,1.52
Anson,9.00,"26,948.00","733,498.00","26,948.00",100.00,3.67
Ashe,5.00,"27,281.00","733,499.00","27,281.00",100.00,3.72
Avery,5.00,"17,797.00","733,499.00","17,797.00",100.00,2.43
Beaufort,3.00,"47,759.00","733,498.00","47,759.00",100.00,6.51
Bertie,1.00,"21,282.00","733,499.00","21,282.00",100.00,2.90
Bladen,7.00,"35,190.00","733,499.00","8,981.00",25.52,1.22
Bladen,9.00,"35,190.00","733,498.00","26,209.00",74.48,3.57
Brunswick,7.00,"107,431.00","733,499.00","107,431.00",100.00,14.65
Buncombe,10.00,"238,318.00","733,499.00","111,849.00",46.93,15.25
Buncombe,11.00,"238,318.00","733,499.00","126,469.00",53.07,17.24
Burke,11.00,"90,912.00","733,499.00","90,912.00",100.00,12.39
Cabarrus,8.00,"178,011.00","733,499.00","178,011.00",100.00,24.27
Caldwell,11.00,"83,029.00","733,499.00","83,029.00",100.00,11.32
Camden,3.00,"9,980.00","733,498.00","9,980.00",100.00,1.36
Carteret,3.00,"66,469.00","733,498.00","66,469.00",100.00,9.06
Caswell,6.00,"23,719.00","733,498.00","23,719.00",100.00,3.23
Catawba,5.00,"154,358.00","733,499.00","9,499.00",6.15,1.30
Catawba,10.00,"154,358.00","733,499.00","144,859.00",93.85,19.75
Chatham,6.00,"63,505.00","733,498.00","63,505.00",100.00,8.66
Cherokee,11.00,"27,444.00","733,499.00","27,444.00",100.00,3.74
Chowan,3.00,"14,793.00","733,498.00","14,793.00",100.00,2.02
Clay,11.00,"10,587.00","733,499.00","10,587.00",100.00,1.44
Cleveland,10.00,"98,078.00","733,499.00","98,078.00",100.00,13.37
Columbus,7.00,"58,098.00","733,499.00","58,098.00",100.00,7.92
Craven,3.00,"103,505.00","733,498.00","103,505.00",100.00,14.11
Cumberland,8.00,"319,431.00","733,499.00","243,476.00",76.22,33.19
Cumberland,9.00,"319,431.00","733,498.00","75,955.00",23.78,10.36
Currituck,3.00,"23,547.00","733,498.00","23,547.00",100.00,3.21
Dare,3.00,"33,920.00","733,498.00","33,920.00",100.00,4.62
Davidson,13.00,"162,878.00","733,499.00","162,878.00",100.00,22.21
Davie,13.00,"41,240.00","733,499.00","41,240.00",100.00,5.62
Duplin,7.00,"58,505.00","733,499.00","58,505.00",100.00,7.98
Durham,1.00,"267,587.00","733,499.00","240,299.00",89.80,32.76
Durham,4.00,"267,587.00","733,499.00","27,288.00",10.20,3.72
Edgecombe,1.00,"56,552.00","733,499.00","56,552.00",100.00,7.71
Forsyth,5.00,"350,670.00","733,499.00","350,670.00",100.00,47.81
Franklin,2.00,"60,619.00","733,499.00","60,619.00",100.00,8.26
Gaston,10.00,"206,086.00","733,499.00","206,086.00",100.00,28.10
Gates,1.00,"12,197.00","733,499.00","12,197.00",100.00,1.66
Graham,11.00,"8,861.00","733,499.00","8,861.00",100.00,1.21
Granville,1.00,"59,916.00","733,499.00","59,916.00",100.00,8.17
Greene,3.00,"21,362.00","733,498.00","21,362.00",100.00,2.91
Guilford,6.00,"488,406.00","733,498.00","162,418.00",33.25,22.14
Guilford,13.00,"488,406.00","733,499.00","325,988.00",66.75,44.44
Halifax,1.00,"54,691.00","733,499.00","54,691.00",100.00,7.46
Harnett,2.00,"114,678.00","733,499.00","114,678.00",100.00,15.63
Haywood,11.00,"59,036.00","733,499.00","59,036.00",100.00,8.05
Henderson,11.00,"106,740.00","733,499.00","106,740.00",100.00,14.55
Hertford,1.00,"24,669.00","733,499.00","24,669.00",100.00,3.36
Hoke,8.00,"46,952.00","733,499.00","46,952.00",100.00,6.40
Hyde,3.00,"5,810.00","733,498.00","5,810.00",100.00,0.79
Iredell,10.00,"159,437.00","733,499.00","6,042.00",3.79,0.82
Iredell,13.00,"159,437.00","733,499.00","153,395.00",96.21,20.91
Jackson,11.00,"40,271.00","733,499.00","40,271.00",100.00,5.49
Johnston,2.00,"168,878.00","733,499.00","109,332.00",64.74,14.91
Johnston,7.00,"168,878.00","733,499.00","59,546.00",35.26,8.12
Jones,3.00,"10,153.00","733,498.00","10,153.00",100.00,1.38
Lee,6.00,"57,866.00","733,498.00","57,866.00",100.00,7.89
Lenoir,3.00,"59,495.00","733,498.00","59,495.00",100.00,8.11
Lincoln,10.00,"78,265.00","733,499.00","78,265.00",100.00,10.67
Macon,11.00,"33,922.00","733,499.00","33,922.00",100.00,4.62
Madison,11.00,"20,764.00","733,499.00","20,764.00",100.00,2.83
Martin,1.00,"24,505.00","733,499.00","24,505.00",100.00,3.34
McDowell,11.00,"44,996.00","733,499.00","44,996.00",100.00,6.13
Mecklenburg,9.00,"919,628.00","733,498.00","186,130.00",20.24,25.38
Mecklenburg,12.00,"919,628.00","733,498.00","733,498.00",79.76,100.00
Mitchell,11.00,"15,579.00","733,499.00","15,579.00",100.00,2.12
Montgomery,8.00,"27,798.00","733,499.00","27,798.00",100.00,3.79
Moore,8.00,"88,247.00","733,499.00","88,247.00",100.00,12.03
Nash,2.00,"95,840.00","733,499.00","95,840.00",100.00,13.07
New Hanover,7.00,"202,667.00","733,499.00","202,667.00",100.00,27.63
Northampton,1.00,"22,099.00","733,499.00","22,099.00",100.00,3.01
Onslow,3.00,"177,772.00","733,498.00","177,772.00",100.00,24.24
Orange,4.00,"133,801.00","733,499.00","133,801.00",100.00,18.24
Pamlico,3.00,"13,144.00","733,498.00","13,144.00",100.00,1.79
Pasquotank,3.00,"40,661.00","733,498.00","40,661.00",100.00,5.54
Pender,7.00,"52,217.00","733,499.00","52,217.00",100.00,7.12
Perquimans,3.00,"13,453.00","733,498.00","13,453.00",100.00,1.83
Person,6.00,"39,464.00","733,498.00","39,464.00",100.00,5.38
Pitt,1.00,"168,148.00","733,499.00","80,880.00",48.10,11.03
Pitt,3.00,"168,148.00","733,498.00","87,268.00",51.90,11.90
Polk,10.00,"20,510.00","733,499.00","20,510.00",100.00,2.80
Randolph,6.00,"141,752.00","733,498.00","141,752.00",100.00,19.33
Richmond,9.00,"46,639.00","733,498.00","46,639.00",100.00,6.36
Robeson,9.00,"134,168.00","733,498.00","134,168.00",100.00,18.29
Rockingham,6.00,"93,643.00","733,498.00","93,643.00",100.00,12.77
Rowan,8.00,"138,428.00","733,499.00","88,430.00",63.88,12.06
Rowan,13.00,"138,428.00","733,499.00","49,998.00",36.12,6.82
Rutherford,10.00,"67,810.00","733,499.00","67,810.00",100.00,9.24
Sampson,7.00,"63,431.00","733,499.00","63,431.00",100.00,8.65
Scotland,9.00,"36,157.00","733,498.00","36,157.00",100.00,4.93
Stanly,8.00,"60,585.00","733,499.00","60,585.00",100.00,8.26
Stokes,5.00,"47,401.00","733,499.00","47,401.00",100.00,6.46
Surry,5.00,"73,673.00","733,499.00","73,673.00",100.00,10.04
Swain,11.00,"13,981.00","733,499.00","13,981.00",100.00,1.91
Transylvania,11.00,"33,090.00","733,499.00","33,090.00",100.00,4.51
Tyrrell,3.00,"4,407.00","733,498.00","4,407.00",100.00,0.60
Union,9.00,"201,292.00","733,498.00","201,292.00",100.00,27.44
Vance,1.00,"45,422.00","733,499.00","45,422.00",100.00,6.19
Wake,2.00,"900,993.00","733,499.00","328,583.00",36.47,44.80
Wake,4.00,"900,993.00","733,499.00","572,410.00",63.53,78.04
