County,District,Total County Pop,Total District Pop,County Pop in District,Percent of County Pop in District,Percent of District Pop in County
Alamance,13.0,151131,733498,151131,100.0,20.604146159907728
Alexander,5.0,37198,733499,37198,100.0,5.071308890673334
Alleghany,5.0,11155,733499,11155,100.0,1.5207928027168407
Anson,9.0,26948,733499,26948,100.0,3.6738973059267974
Ashe,5.0,27281,733499,27281,100.0,3.719296140826368
Avery,11.0,17797,733499,17797,100.0,2.426315509632597
Beaufort,3.0,47759,733499,47759,100.0,6.511119987893645
Bertie,1.0,21282,733498,21282,100.0,2.901439404061088
Bladen,7.0,35190,733499,35190,100.0,4.797552552900549
Brunswick,7.0,107431,733499,107431,100.0,14.646373069356605
Buncombe,11.0,238318,733499,238318,100.0,32.49056917596343
Burke,5.0,90912,733499,90912,100.0,12.394290926095332
Cabarrus,8.0,178011,733498,178011,100.0,24.2687778289784
Caldwell,5.0,83029,733499,83029,100.0,11.319579167797093
Camden,3.0,9980,733499,9980,100.0,1.36060171861175
Carteret,3.0,66469,733499,66469,100.0,9.061907378196835
Caswell,13.0,23719,733498,23719,100.0,3.2336829820940207
Catawba,5.0,154358,733499,15316,9.922388214410656,2.0880737397051665
Catawba,10.0,154358,733499,139042,90.07761178558934,18.955990396714924
Chatham,4.0,63505,733499,42882,67.52539170144082,5.846224739229365
Chatham,13.0,63505,733498,20623,32.47460829855917,2.811595941638559
Cherokee,11.0,27444,733499,27444,100.0,3.741518393344776
Chowan,3.0,14793,733499,14793,100.0,2.016771665673709
Clay,11.0,10587,733499,10587,100.0,1.4433557509962522
Cleveland,5.0,98078,733499,98078,100.0,13.371252039880083
Columbus,7.0,58098,733499,58098,100.0,7.920665195180907
Craven,3.0,103505,733499,103505,100.0,14.111130349189297
Cumberland,8.0,319431,733498,319431,100.0,43.54899399862031
Currituck,3.0,23547,733499,23547,100.0,3.21022932546602
Dare,3.0,33920,733499,33920,100.0,4.624409849229514
Davidson,13.0,162878,733498,162878,100.0,22.20565018582191
Davie,13.0,41240,733498,41240,100.0,5.622373885136701
Duplin,3.0,58505,733499,58505,100.0,7.97615266005816
Durham,4.0,267587,733499,267587,100.0,36.48089499781186
Edgecombe,1.0,56552,733498,56552,100.0,7.709905139482316
Forsyth,6.0,350670,733498,245092,69.89249151624034,33.414133371870136
Forsyth,10.0,350670,733499,105578,30.10750848375966,14.393748321401938
Franklin,4.0,60619,733499,60619,100.0,8.264360278609786
Gaston,5.0,206086,733499,206086,100.0,28.096289156495104
Gates,1.0,12197,733498,12197,100.0,1.6628538864454983
Graham,11.0,8861,733499,8861,100.0,1.208045273408689
Granville,4.0,59916,733499,59916,100.0,8.168518293821805
Greene,1.0,21362,733498,21362,100.0,2.912346045933322
Guilford,6.0,488406,733498,488406,100.0,66.58586662812986
Halifax,1.0,54691,733498,54691,100.0,7.45618938292947
Harnett,7.0,114678,733499,45587,39.75217565705715,6.215005064764915
Harnett,8.0,114678,733498,69091,60.24782434294285,9.419384919931616
Haywood,11.0,59036,733499,59036,100.0,8.048545396789907
Henderson,11.0,106740,733499,106740,100.0,14.552167078619057
Hertford,1.0,24669,733498,24669,100.0,3.3631993543268015
Hoke,9.0,46952,733499,46952,100.0,6.401099388001892
Hyde,3.0,5810,733499,5810,100.0,0.792093786085598
Iredell,10.0,159437,733499,157491,98.7794552080132,21.471194916421155
Iredell,13.0,159437,733498,1946,1.2205447919868035,0.26530406354209557
Jackson,11.0,40271,733499,40271,100.0,5.490259700422223
Johnston,7.0,168878,733499,168878,100.0,23.023616937446402
Jones,3.0,10153,733499,10153,100.0,1.3841872995055209
Lee,8.0,57866,733498,45549,78.71461652784019,6.209832882979913
Lee,13.0,57866,733498,12317,21.285383472159815,1.6792138492538493
Lenoir,3.0,59495,733499,59495,100.0,8.111122169219044
Lincoln,10.0,78265,733499,78265,100.0,10.67008952977441
Macon,11.0,33922,733499,33922,100.0,4.624682514904587
Madison,11.0,20764,733499,20764,100.0,2.830815038602643
Martin,1.0,24505,733498,24505,100.0,3.3408407384887213
McDowell,11.0,44996,733499,44996,100.0,6.134432357780993
