index,total,female,male,white,black,american_indian/alaska_native,native_hawaiian/pacific_islander,hispanic,other_race,democrat,republican,unaffiliated,green,libertarian,constitution,justice_for_all,no_labels,we_the_people,date
ALAMANCE,101136,54471,44140,72449,20715,273,0,2770,7699,39529,33130,28037,0,440,0,0,0,0,2016-11-08
ALEXANDER,24429,12541,11651,22683,1006,33,0,232,707,6553,10749,7056,0,71,0,0,0,0,2016-11-08
ALLEGHANY,7470,3903,3495,7132,83,12,0,166,243,2813,2557,2064,0,36,0,0,0,0,2016-11-08
ANSON,17416,8311,7013,7514,7682,37,0,58,2183,11939,2456,3002,0,19,0,0,0,0,2016-11-08
ASHE,19044,9962,8934,18479,104,22,0,177,439,5668,8060,5251,0,65,0,0,0,0,2016-11-08
AVERY,11959,6342,5527,11546,94,23,0,83,296,1493,7029,3388,0,49,0,0,0,0,2016-11-08
BEAUFORT,33322,17679,14843,23509,8395,43,0,312,1375,13896,10743,8585,0,98,0,0,0,0,2016-11-08
BERTIE,14248,7696,6158,5059,8584,19,0,26,586,10309,1541,2379,0,19,0,0,0,0,2016-11-08
BLADEN,23086,12407,10529,13404,8560,419,0,303,703,13713,3462,5878,0,33,0,0,0,0,2016-11-08
BRUNSWICK,95315,49984,43445,81983,8971,285,0,991,4076,27092,35487,32397,0,339,0,0,0,0,2016-11-08
BUNCOMBE,198372,104478,88822,172932,11420,445,0,3029,13575,78237,47793,71055,0,1287,0,0,0,0,2016-11-08
BURKE,58562,30805,27394,52314,3509,89,0,672,2650,19317,20667,18324,0,254,0,0,0,0,2016-11-08
CABARRUS,132532,70288,59498,98851,23187,347,0,3863,10147,41399,49354,41110,0,669,0,0,0,0,2016-11-08
CALDWELL,55488,28862,26255,50852,2932,65,0,672,1639,15152,24845,15153,0,338,0,0,0,0,2016-11-08
CAMDEN,7683,3909,3704,6291,1104,15,0,30,273,2499,2343,2798,0,43,0,0,0,0,2016-11-08
CARTERET,52965,27453,24307,47974,2772,110,0,456,2109,12934,22223,17580,0,228,0,0,0,0,2016-11-08
CASWELL,15829,8426,7130,9810,5415,24,0,111,580,8266,3705,3826,0,32,0,0,0,0,2016-11-08
CATAWBA,104677,55422,48150,88469,9562,137,0,2284,6509,27509,44883,31896,0,389,0,0,0,0,2016-11-08
CHATHAM,51450,26443,22498,40485,6450,108,0,1256,4407,20770,13167,17298,0,215,0,0,0,0,2016-11-08
CHEROKEE,23857,12620,11164,23008,255,151,0,166,443,6552,9951,7242,0,112,0,0,0,0,2016-11-08
CHOWAN,10392,5665,4646,6858,3244,12,0,36,278,5108,2610,2651,0,23,0,0,0,0,2016-11-08
CLAY,9039,4681,4277,8751,49,18,0,51,221,2231,3627,3145,0,36,0,0,0,0,2016-11-08
CLEVELAND,63770,34130,28652,47379,13929,92,0,540,2370,26797,20451,16313,0,209,0,0,0,0,2016-11-08
COLUMBUS,36623,19889,16509,23142,11538,1024,0,210,919,21467,6709,8394,0,53,0,0,0,0,2016-11-08
CRAVEN,72023,38633,32274,51359,16303,168,0,1444,4193,25461,24821,21388,0,353,0,0,0,0,2016-11-08
CUMBERLAND,212015,111117,90199,95409,87276,2281,0,10663,27049,99264,48845,62909,0,997,0,0,0,0,2016-11-08
CURRITUCK,18872,9645,8990,17161,1028,52,0,141,631,4173,6750,7821,0,128,0,0,0,0,2016-11-08
DARE,29534,15271,14002,28013,575,35,0,220,911,9279,8902,11157,0,196,0,0,0,0,2016-11-08
DAVIDSON,105932,56031,49069,91562,10008,268,0,1458,4094,27751,49405,28362,0,414,0,0,0,0,2016-11-08
DAVIE,29546,15583,13767,26314,1988,38,0,407,1206,5735,15177,8539,0,95,0,0,0,0,2016-11-08
DUPLIN,30177,16079,13245,18940,9229,49,0,1282,1959,14476,8177,7432,0,92,0,0,0,0,2016-11-08
DURHAM,232428,124459,99032,114904,86460,633,0,7649,30431,129682,29895,71772,0,1079,0,0,0,0,2016-11-08
EDGECOMBE,38603,21381,16848,14074,23455,60,0,319,1014,27482,6235,4815,0,71,0,0,0,0,2016-11-08
FORSYTH,256163,137410,111462,164857,70785,526,0,7675,19995,106765,77076,71152,0,1170,0,0,0,0,2016-11-08
FRANKLIN,43547,22461,19976,29377,11642,128,0,818,2400,18617,13191,11548,0,191,0,0,0,0,2016-11-08
GASTON,142790,76243,63575,110423,23568,364,0,2933,8435,46265,54484,41434,0,607,0,0,0,0,2016-11-08
GATES,8655,4481,3860,5342,2944,13,0,32,356,4740,1737,2155,0,23,0,0,0,0,2016-11-08
GRAHAM,6434,3283,3083,5974,4,311,0,45,145,2015,2808,1594,0,17,0,0,0,0,2016-11-08
GRANVILLE,38056,19743,16770,23571,12481,82,0,627,1922,19077,9252,9588,0,139,0,0,0,0,2016-11-08
GREENE,11457,6121,5270,6580,4392,11,0,310,474,6759,2064,2610,0,24,0,0,0,0,2016-11-08
GUILFORD,365649,200098,160475,207676,127216,1038,0,8056,29719,169233,95851,98918,0,1647,0,0,0,0,2016-11-08
HALIFAX,38837,21309,17054,15380,20919,1136,0,220,1402,26111,4708,7936,0,82,0,0,0,0,2016-11-08
HARNETT,73438,39319,32659,50031,16608,497,0,2784,6302,27136,25487,20337,0,478,0,0,0,0,2016-11-08
